group,feature,mean_feature_value,group_count
TP,dur,1.0005841919096894,44646
TP,spkts,15.387895892129194,44646
TP,dpkts,11.186422075885858,44646
TP,sbytes,11322.291694664696,44646
TP,dbytes,8884.068203198494,44646
TP,rate,128038.9773121563,44646
TP,sload,84367897.21024878,44646
TP,dload,24280.85799593744,44646
TP,sloss,5.163441293732921,44646
TP,dloss,4.110939389866953,44646
TP,sinpkt,71.18211168095687,44646
TP,dinpkt,61.911553729875024,44646
TP,sjit,4127.431001080635,44646
TP,djit,416.85863513033644,44646
TP,swin,84.16610670608789,44646
TP,stcpb,717437929.7252386,44646
TP,dtcpb,707493650.0795144,44646
TP,dwin,84.16610670608789,44646
TP,tcprtt,0.03953706383550599,44646
TP,synack,0.019183394906598577,44646
TP,ackdat,0.020353668928907408,44646
TP,smean,126.47753438157953,44646
TP,dmean,69.73594498947274,44646
TP,trans_depth,0.08256058773462348,44646
TP,response_body_len,1046.6689065089818,44646
TP,ct_srv_src,12.488800788424495,44646
TP,ct_dst_ltm,7.773193567172871,44646
TP,ct_src_dport_ltm,7.583770102584778,44646
TP,ct_dst_sport_ltm,5.834946019800206,44646
TP,ct_dst_src_ltm,10.412690946557362,44646
TP,is_ftp_login,0.006876315907360122,44646
TP,ct_ftp_cmd,0.006876315907360122,44646
TP,ct_flw_http_mthd,0.08719706132688258,44646
TP,ct_src_ltm,8.677552300318057,44646
TP,ct_srv_dst,12.149352685570936,44646
TP,is_sm_ips_ports,0.0,44646
TP,proto,111.12876853469515,44646
TP,service,1.7167719392554763,44646
TP,state,2.6576177037136586,44646
TN,dur,0.9243350377612443,26747
TN,spkts,26.926159943171196,26747
TN,dpkts,32.52626462780873,26747
TN,sbytes,3520.228661158261,26747
TN,dbytes,25536.352675066362,26747
TN,rate,16578.081380485735,26747
TN,sload,16167922.622772668,26747
TN,dload,1898419.9741640568,26747
TN,sloss,4.620929450031779,26747
TN,dloss,11.99513964182899,26747
TN,sinpkt,2087.3016938888472,26747
TN,dinpkt,137.04409847238944,26747
TN,sjit,4325.70378160803,26747
TN,djit,602.139169301417,26747
TN,swin,194.05065988709015,26747
TN,stcpb,1495931336.5904214,26747
TN,dtcpb,1485157668.6005907,26747
TN,dwin,178.25285078700415,26747
TN,tcprtt,0.058820606236213414,26747
TN,synack,0.03314843002953602,26747
TN,ackdat,0.02567217620667738,26747
TN,smean,132.10580625864583,26747
TN,dmean,221.42756196956668,26747
TN,trans_depth,0.09982427935843272,26747
TN,response_body_len,3120.6804501439415,26747
TN,ct_srv_src,6.41387819194676,26747
TN,ct_dst_ltm,3.6372677309604815,26747
TN,ct_src_dport_ltm,1.7446442591692526,26747
TN,ct_dst_sport_ltm,1.0655774479380866,26747
TN,ct_dst_src_ltm,3.866863573484877,26747
TN,is_ftp_login,0.01155269749878491,26747
TN,ct_ftp_cmd,0.011851796463154747,26747
TN,ct_flw_http_mthd,0.12435039443675926,26747
TN,ct_src_ltm,4.15052155381912,26747
TN,ct_srv_dst,6.070176094515273,26747
TN,is_sm_ips_ports,0.03424683142034621,26747
TN,proto,110.13003327475978,26747
TN,service,1.215052155381912,26747
TN,state,1.8234568362807044,26747
FP,dur,1.2433163523846678,10253
FP,spkts,11.95298936896518,10253
FP,dpkts,6.8650151175265774,10253
FP,sbytes,5512.767677752853,10253
FP,dbytes,883.7991807275919,10253
FP,rate,59059.35471302303,10253
FP,sload,101280787.82153055,10253
FP,dload,4550.709682293084,10253
FP,sloss,3.457719691797523,10253
FP,dloss,1.353652589486004,10253
FP,sinpkt,263.31110748015215,10253
FP,dinpkt,275.69901705598363,10253
FP,sjit,17885.480380682337,10253
FP,djit,754.4671160579343,10253
FP,swin,186.25719301667806,10253
FP,stcpb,1575219633.6688774,10253
FP,dtcpb,1560932819.5459867,10253
FP,dwin,185.98361455183849,10253
FP,tcprtt,0.1173305720276992,10253
FP,synack,0.061538124256315226,10253
FP,ackdat,0.05579244777138398,10253
FP,smean,209.80942163269287,10253
FP,dmean,48.647712864527456,10253
FP,trans_depth,0.13576514190968497,10253
FP,response_body_len,112.13586267433922,10253
FP,ct_srv_src,4.863649663513118,10253
FP,ct_dst_ltm,2.5680288695991416,10253
FP,ct_src_dport_ltm,1.791183068370233,10253
FP,ct_dst_sport_ltm,1.1372281283526773,10253
FP,ct_dst_src_ltm,4.0537403686725835,10253
FP,is_ftp_login,0.0056568809129035405,10253
FP,ct_ftp_cmd,0.0056568809129035405,10253
FP,ct_flw_http_mthd,0.3352189603043012,10253
FP,ct_src_ltm,3.078806203062518,10253
FP,ct_srv_dst,4.222861601482493,10253
FP,is_sm_ips_ports,0.0,10253
FP,proto,114.58743782307617,10253
FP,service,0.7512923046913098,10253
FP,state,2.2699697649468447,10253
FN,dur,1.0863752084548106,686
FN,spkts,10.338192419825074,686
FN,dpkts,6.9912536443148685,686
FN,sbytes,2888.4096209912536,686
FN,dbytes,1229.600583090379,686
FN,rate,28681.398497438782,686
FN,sload,112077518.65030475,686
FN,dload,9404.616540263849,686
FN,sloss,2.63265306122449,686
FN,dloss,1.6705539358600583,686
FN,sinpkt,708.9502148221575,686
FN,dinpkt,1113.041324345481,686
FN,sjit,59084.52659243003,686
FN,djit,2347.575588462099,686
FN,swin,189.94897959183675,686
FN,stcpb,1614536460.8163266,686
FN,dtcpb,1553900030.042274,686
FN,dwin,189.2055393586006,686
FN,tcprtt,0.09181325947521866,686
FN,synack,0.05053333527696793,686
FN,ackdat,0.04127992419825073,686
FN,smean,227.90524781341108,686
FN,dmean,56.005830903790084,686
FN,trans_depth,0.02040816326530612,686
FN,response_body_len,2.9285714285714284,686
FN,ct_srv_src,10.199708454810496,686
FN,ct_dst_ltm,3.4008746355685133,686
FN,ct_src_dport_ltm,3.19533527696793,686
FN,ct_dst_sport_ltm,1.3338192419825072,686
FN,ct_dst_src_ltm,5.862973760932944,686
FN,is_ftp_login,0.0058309037900874635,686
FN,ct_ftp_cmd,0.011661807580174927,686
FN,ct_flw_http_mthd,0.037900874635568516,686
FN,ct_src_ltm,3.7230320699708455,686
FN,ct_srv_dst,9.38192419825073,686
FN,is_sm_ips_ports,0.0,686
FN,proto,114.53061224489795,686
FN,service,0.2944606413994169,686
FN,state,2.2201166180758016,686
