group,feature,mean_feature_value,group_count
TP,dur,1.004282273706945,44449
TP,spkts,15.40387860244325,44449
TP,dpkts,11.183108731355036,44449
TP,sbytes,11363.90868186011,44449
TP,dbytes,8896.956556952913,44449
TP,rate,128580.7323917961,44449
TP,sload,84512754.24011888,44449
TP,dload,24314.032068260636,44449
TP,sloss,5.17552700848163,44449
TP,dloss,4.113208396139396,44449
TP,sinpkt,72.00694905525434,44449
TP,dinpkt,63.27641294026862,44449
TP,sjit,4219.01419370483,44449
TP,djit,421.596880702783,44449
TP,swin,83.3688046975185,44449
TP,stcpb,712882495.2122657,44449
TP,dtcpb,700949444.7075975,44449
TP,dwin,83.3688046975185,44449
TP,tcprtt,0.03911547074174897,44449
TP,synack,0.01894491162905802,44449
TP,ackdat,0.02017055911269095,44449
TP,smean,126.50568066773155,44449
TP,dmean,69.72318837319175,44449
TP,trans_depth,0.08285900695178744,44449
TP,response_body_len,1051.30007424239,44449
TP,ct_srv_src,12.510787644266463,44449
TP,ct_dst_ltm,7.79772323336858,44449
TP,ct_src_dport_ltm,7.60813516614547,44449
TP,ct_dst_sport_ltm,5.85815203941596,44449
TP,ct_dst_src_ltm,10.446466737159442,44449
TP,is_ftp_login,0.00699678282975995,44449
TP,ct_ftp_cmd,0.007086773605705415,44449
TP,ct_flw_http_mthd,0.08751602960696529,44449
TP,ct_src_ltm,8.704807757204886,44449
TP,ct_srv_dst,12.170420031946726,44449
TP,is_sm_ips_ports,0.0,44449
TP,proto,111.12142005444441,44449
TP,service,1.7226259308420886,44449
TP,state,2.6606672816036356,44449
TN,dur,0.9263779315964565,26753
TN,spkts,27.033940118865175,26753
TN,dpkts,32.587036967816694,26753
TN,sbytes,3616.489477815572,26753
TN,dbytes,25566.059881134825,26753
TN,rate,15785.937768843007,26753
TN,sload,15001017.673849609,26753
TN,dload,1898313.0254694421,26753
TN,sloss,4.659066272941352,26753
TN,dloss,12.004597615220723,26753
TN,sinpkt,2085.175477777109,26753
TN,dinpkt,138.09430279157476,26753
TN,sjit,4321.937289481366,26753
TN,djit,602.0855801778492,26753
TN,swin,195.20812619145516,26753
TN,stcpb,1510205048.5184093,26753
TN,dtcpb,1497640751.5831497,26753
TN,dwin,179.3376069973461,26753
TN,tcprtt,0.059344293350278465,26753
TN,synack,0.033471997009681155,26753
TN,ackdat,0.025872296340597317,26753
TN,smean,133.29660225021493,26753
TN,dmean,221.15616940156244,26753
TN,trans_depth,0.09475572832953313,26753
TN,response_body_len,3118.8157963592867,26753
TN,ct_srv_src,6.3528576234441,26753
TN,ct_dst_ltm,3.6151459649385114,26753
TN,ct_src_dport_ltm,1.7244794976264344,26753
TN,ct_dst_sport_ltm,1.0601054087392068,26753
TN,ct_dst_src_ltm,3.7947519904309797,26753
TN,is_ftp_login,0.011699622472246103,26753
TN,ct_ftp_cmd,0.011998654356520764,26753
TN,ct_flw_http_mthd,0.10985683848540351,26753
TN,ct_src_ltm,4.125481254438754,26753
TN,ct_srv_dst,6.0036257615968305,26753
TN,is_sm_ips_ports,0.03423915074944866,26753
TN,proto,110.10952042761559,26753
TN,service,1.1917915747766605,26753
TN,state,1.817926961462266,26753
