stage,config_id,params_json,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
features,depthrank1_depth_d25_leaf1_features0p5_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,0.5,,12.936002291000477,0.9999938543184569,0.9999935226959239,0.9987030443087226,0.9986018473950813,0.9988765848178462,0.9987391972124796,0.9872446828526353,0.9871983003918731,0.9361912846632711,0.924759871931697,0.9535075653370014,0.9389137207097386
features,depthrank1_depth_d25_leaf1_features0p5_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,0.5,balanced,13.200023458999567,0.9999926092163065,0.999992204863116,0.9983847006390454,0.9986238532110092,0.998234633285187,0.9984292053154775,0.9871599129059887,0.9871239396425601,0.9360498019241652,0.926942680854869,0.9505731315910133,0.9386091995653749
features,depthrank2_depth_d25_leaf2_featuressqrt_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,sqrt,,4.11545866599954,0.9996850683802148,0.9996637010881743,0.9894474968755158,0.9840251971358651,0.9956439003140977,0.9898004535664224,0.9866102216551274,0.9869307210063308,0.9344463308809658,0.9192738168678946,0.9565337001375516,0.9375337048355205
features,depthrank2_depth_d25_leaf2_featuressqrt_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,sqrt,balanced,4.294474832999185,0.9996755039621469,0.9996536197784965,0.9899191171268894,0.9858876465775839,0.9946351193342046,0.9902420652583285,0.9869219163914622,0.9870487063130595,0.9355781927938125,0.9223412733551758,0.9551581843191197,0.9384629245878007
features,depthrank2_depth_d25_leaf2_features0p3_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,0.3,,7.253942041999835,0.9998317552578395,0.9998202677509145,0.9925012380031598,0.9887870448290763,0.9967214618153473,0.9927383997077092,0.9872717148927891,0.987218944036402,0.9350594227504244,0.9215183153424172,0.9550664832645576,0.9379925248795424
features,depthrank2_depth_d25_leaf2_features0p3_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,0.3,balanced,8.020710875000077,0.9998326024280428,0.9998212822818304,0.9928667436979743,0.9901093892433911,0.9960795102826879,0.9930854772163618,0.9871195753818083,0.9871942802902968,0.9361912846632711,0.9252136752136753,0.9529573590096286,0.9388806071283372
features,depthrank2_depth_d25_leaf2_features0p5_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,0.5,,13.074268291999033,0.999879137687619,0.9998709609056778,0.9937274506567312,0.9907063620418669,0.9971570717839374,0.9939212504856144,0.9872968065899135,0.9873222023265036,0.9359083191850595,0.9232133356978187,0.9547913801008712,0.9387368705765676
features,depthrank2_depth_d25_leaf2_features0p5_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,0.5,balanced,13.13455333300044,0.9998802916759599,0.9998722520256585,0.9940222133138397,0.9917864476386037,0.9966297544535387,0.9942022024769289,0.9873016337384964,0.9873473914014969,0.9370401810979061,0.9266987693953986,0.9529573590096286,0.9396446493964465
estimators,featurerank1_depthrank2_depth_d25_leaf2_features0p5_weightbalanced_n200,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 200}",200,25,2,0.5,balanced,8.819351166999695,0.9998707539026923,0.9998620577429825,0.9938689367321433,0.9915147920895965,0.9966068276130866,0.9940542889158225,0.9872713538546782,0.9872954372648459,0.9364742501414828,0.9267726379710662,0.9516735442457588,0.9390580464190381
estimators,featurerank1_depthrank2_depth_d25_leaf2_features0p5_weightbalanced_n400,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 400}",400,25,2,0.5,balanced,16.69490958300048,0.9998800050356907,0.9998719153327325,0.9941636993892518,0.9919682380322183,0.9967214618153473,0.994339169516142,0.987313704272484,0.9873638591265589,0.9374174684021883,0.9268270944741533,0.9535992663915634,0.9400225988700565
estimators,featurerank1_depthrank2_depth_d25_leaf2_features0p5_weightbalanced_n800,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 800}",800,25,2,0.5,balanced,35.190509250000105,0.9998804854946428,0.9998724729630002,0.9940575848326927,0.9918767826583,0.9966068276130866,0.994236179410352,0.9873342225807659,0.987407416904879,0.9376532729673647,0.9270118527760449,0.9538743695552498,0.940251288077375
estimators,featurerank2_depthrank2_depth_d25_leaf2_features0p5_weightnone_n200,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 200}",200,25,2,0.5,,8.787419125001179,0.9998740429144738,0.9998655187236553,0.9935034310373287,0.9901438586907038,0.9972946328266502,0.9937063815691785,0.9872518776854623,0.9872580899424491,0.9361441237502358,0.9233224004964099,0.9551581843191197,0.9389705219507798
estimators,featurerank2_depthrank2_depth_d25_leaf2_features0p5_weightnone_n400,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 400}",400,25,2,0.5,,17.12143641699913,0.9998808303501299,0.9998727779344438,0.9937038696441626,0.9907059386318595,0.9971112181030333,0.9938982586041409,0.9872954866039145,0.9873361947730755,0.9358139973589888,0.9237258035872846,0.953966070609812,0.9386024270311725
estimators,featurerank2_depthrank2_depth_d25_leaf2_features0p5_weightnone_n800,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 800}",800,25,2,0.5,,32.89525645899994,0.9998814754002753,0.9998734969547091,0.9937038696441626,0.99054949559356,0.9972717059861981,0.9938992345481549,0.9872936157769775,0.9873632002394788,0.9363799283154122,0.9237318197942532,0.9551581843191197,0.9391821829493711
