model,raw_fit_rows,unique_configurations,winner_config_key,winner_context,winner_pr_auc,second_pr_auc,fifth_pr_auc,tenth_pr_auc,top5_pr_auc_range,top10_pr_auc_range,within_0.0001,within_0.0005,within_0.0010,duplicate_configuration_groups,duplicate_refit_occurrences_beyond_first,duplicate_metrics_reproducible
Random Forest,79,75,"{""class_weight"":""balanced"",""max_depth"":25,""max_features"":0.3,""min_samples_leaf"":1,""n_estimators"":800}",round2/round2_joint,0.984366,0.984361,0.984303,0.984256,6.299999999992423e-05,0.00010999999999994348,7,52,67,4,4,False
XGBoost,113,95,"{""colsample_bytree"":0.6,""gamma"":0.0,""learning_rate"":0.1,""max_depth"":10,""min_child_weight"":1,""n_estimators"":2000,""reg_alpha"":1.0,""reg_lambda"":1.0,""scale_pos_weight"":1.0,""subsample"":1.0}",round1/regularization,0.985938,0.985923,0.985729,0.985663,0.00020900000000001473,0.0002750000000000252,3,26,81,14,18,True
