metric,observed_xgboost_minus_rf,bootstrap_median_difference,ci_lower_2_5,ci_upper_97_5,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_replicates_skipped,seed,paired_resampling
pr_auc,0.0036555865327005943,0.003656371296107741,0.003279275633665579,0.004002331976970954,2000,2000,0,42,True
roc_auc,0.0034358945771855165,0.0034344108877533697,0.0030337376341462775,0.003800233605392844,2000,2000,0,42,True
f1,0.0010850373991238005,0.0010844872096058,8.699979807221259e-05,0.00207805989380923,2000,2000,0,42,True
precision,0.006160965062815826,0.006146797701883311,0.0047492784852995185,0.0076231115016675115,2000,2000,0,42,True
recall,-0.006220771199152875,-0.006213922784782444,-0.007301206346641315,-0.0051492703787740235,2000,2000,0,42,True
