model,round1_fits,round2_fits,total_tuning_fits,round1_logged_fit_seconds,round2_logged_fit_seconds,round2_wall_seconds_recorded,final_training_runtime_seconds,joblib_size_bytes,native_json_size_bytes,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
Random Forest,31,48,79,273.36465508497713,1369.8168660389965,,22.57313737500226,84012461,,0.984366,0.985987,0.982272,0.977464,0.892037,0.81576,0.984051
XGBoost,49,64,113,147.0118108769966,181.64717637600552,,1.5792732080008136,3646034,5880165.0,0.9859381314281778,0.9872826989524464,0.9859274974007409,0.9809003722685008,0.893122311435278,0.8219206022510245,0.9778302303008912
