rank,feature,mean_abs_shap_value,mean_shap_value,scale
1,ackdat,1.0111420154571533,0.08098641037940979,raw
2,dload,0.9709157943725586,-0.35117533802986145,raw
3,ct_dst_sport_ltm,0.6707608103752136,0.5878476500511169,raw
4,sbytes,0.5233059525489807,0.3886672258377075,raw
5,ct_srv_dst,0.3749224841594696,-0.05984814465045929,raw
6,smean,0.37470030784606934,0.23626276850700378,raw
7,service,0.33158963918685913,0.2534746527671814,raw
8,ct_dst_src_ltm,0.3106756806373596,0.10445164889097214,raw
9,synack,0.29570472240448,0.016838664188981056,raw
10,dbytes,0.27349168062210083,-0.03178924694657326,raw
11,ct_srv_src,0.26179078221321106,-0.036662373691797256,raw
12,rate,0.2557491958141327,0.059600215405225754,raw
13,dmean,0.2474268078804016,0.0705418735742569,raw
14,tcprtt,0.24009080231189728,0.02254769764840603,raw
15,sinpkt,0.215627521276474,0.10769722610712051,raw
16,sload,0.1495281308889389,0.06106243282556534,raw
17,state,0.14007174968719482,-0.07382000237703323,raw
18,proto,0.12492292374372482,0.06257391721010208,raw
19,ct_src_ltm,0.12043822556734085,0.05679392069578171,raw
20,dloss,0.11592911183834076,-0.04674157500267029,raw
21,dpkts,0.10031715780496597,-0.0816269963979721,raw
22,dinpkt,0.0956108346581459,-0.06370484828948975,raw
23,swin,0.09436717629432678,-0.0621783621609211,raw
24,dur,0.09380996227264404,0.03470583260059357,raw
25,dtcpb,0.09189585596323013,0.016969751566648483,raw
26,sloss,0.08835061639547348,-0.023673832416534424,raw
27,sjit,0.08833474665880203,-0.019191032275557518,raw
28,ct_dst_ltm,0.08743950724601746,0.014894864521920681,raw
29,ct_src_dport_ltm,0.08153873682022095,0.05945267155766487,raw
30,djit,0.0662262886762619,-0.021303454414010048,raw
31,stcpb,0.06403506547212601,0.02928987890481949,raw
32,spkts,0.05378764495253563,-0.010642800480127335,raw
33,trans_depth,0.0377226285636425,-0.007946915924549103,raw
34,response_body_len,0.02608475834131241,0.010279363952577114,raw
35,ct_flw_http_mthd,0.017640022560954094,-0.002189974533393979,raw
36,is_sm_ips_ports,0.0026195303071290255,-8.951838390203193e-05,raw
37,is_ftp_login,0.0013081288198009133,-0.00036441267002373934,raw
38,dwin,0.0006545477663166821,0.0005342362564988434,raw
39,ct_ftp_cmd,0.0005833900650031865,-3.636108522186987e-05,raw
