stage,config_id,params_json,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,best_iteration,best_val_aucpr,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
regularization,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,5.0,0.0,0,1,354,0.9857282312415324,2.7905557500016585,0.998733,0.998842,0.984677,0.978883,0.989713,0.984268,0.985729,0.987144,0.935749,0.924435,0.944554,0.934386
regularization,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha1.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,5.0,1.0,0,1,244,0.9854713828785862,2.1162125000009837,0.997428,0.997663,0.97726,0.968655,0.98492,0.97672,0.985472,0.986975,0.935247,0.924272,0.943621,0.933846
regularization,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda10.0_alpha0.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,10.0,0.0,0,1,272,0.9851028597028234,2.229976208000153,0.996646,0.996942,0.972366,0.963214,0.980385,0.971724,0.985104,0.986768,0.935599,0.923552,0.945279,0.934289
regularization,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda10.0_alpha1.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,10.0,1.0,0,1,457,0.9855205101357114,3.6877241250003863,0.999008,0.999097,0.987538,0.981631,0.992848,0.987208,0.985521,0.987005,0.935197,0.923748,0.944139,0.933832
learning_rate,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.03,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.03,10,1,1.0,0.6,1.0,1.0,0,1,1200,0.985922303305295,9.173268334001477,0.999706,0.999729,0.993386,0.989658,0.996761,0.993197,0.985923,0.987312,0.936703,0.925614,0.945279,0.935343
learning_rate,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.05,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.05,10,1,1.0,0.6,1.0,1.0,0,1,608,0.9859004763595096,4.762522750002972,0.999497,0.999538,0.991266,0.98672,0.995362,0.991022,0.985901,0.987296,0.936502,0.925325,0.945176,0.935145
learning_rate,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.1,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,1.0,1.0,0,1,282,0.985937332083788,2.441219833002833,0.999351,0.999404,0.989584,0.984601,0.99404,0.989298,0.985938,0.987283,0.937105,0.925071,0.946834,0.935826
learning_rate,regrank2_samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0_lr0.03,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.03,10,1,1.0,0.8,5.0,0.0,0,1,695,0.9853647855166905,5.078551417002018,0.995965,0.996299,0.969053,0.959386,0.977483,0.96835,0.985366,0.986925,0.935448,0.923443,0.945072,0.934132
learning_rate,regrank2_samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0_lr0.05,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.05,10,1,1.0,0.8,5.0,0.0,0,1,670,0.9855376778535142,4.9110586249989865,0.998312,0.998469,0.982393,0.974968,0.989039,0.981953,0.985539,0.987068,0.935549,0.923287,0.945487,0.934255
learning_rate,regrank2_samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0_lr0.1,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,5.0,0.0,0,1,354,0.9857282312415324,2.828192166998633,0.998733,0.998842,0.984677,0.978883,0.989713,0.984268,0.985729,0.987144,0.935749,0.924435,0.944554,0.934386
