rank,stage,config_id,params_json,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,tol,shuffle,beta_1,beta_2,epsilon,early_stopping,validation_fraction,n_iter_no_change,n_iter,converged,stopped_early,loss,best_internal_validation_score,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
11,round2,round2_24_hidden128x64_alpha0.001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,38,True,True,0.195908,0.91216,24.53954,0.947552,0.97255,0.915229,0.891053,0.939885,0.914818,0.945747,0.971388,0.915571,0.893665,0.937196,0.914913
12,round2,round2_19_hidden128x64_alpha0.0001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,23,True,True,0.218009,0.910654,19.801094,0.941016,0.969442,0.913246,0.878458,0.952686,0.914068,0.939885,0.968583,0.913061,0.881395,0.948078,0.913521
13,round2,round2_21_hidden128x64_alpha0.001_lr0.0005_batch128,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.001,0.0005,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,31,True,True,0.321396,0.909399,25.786896,0.93761,0.970147,0.912669,0.883368,0.944368,0.91285,0.937363,0.969482,0.914165,0.886929,0.942999,0.914105
14,round2,round2_14_hidden64x32_alpha0.001_lr0.0005_batch256,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.001,0.0005,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,51,True,True,0.376201,0.912285,18.11064,0.937123,0.96972,0.91164,0.88735,0.936439,0.911234,0.936477,0.968591,0.909848,0.887879,0.931495,0.909164
15,round2,round2_06_hidden64_alpha0.001_lr0.0005_batch256,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.001,0.0005,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,17,True,True,0.584659,0.891831,4.855908,0.938201,0.955801,0.895752,0.853908,0.946726,0.897925,0.936457,0.956482,0.898805,0.859065,0.946316,0.900582
16,round2,round2_22_hidden128x64_alpha0.001_lr0.0005_batch256,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.001,0.0005,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,29,True,True,0.491493,0.902372,18.983498,0.929942,0.964441,0.905666,0.880983,0.930998,0.9053,0.929871,0.964329,0.906786,0.884297,0.929112,0.906151
17,round2,round2_01_hidden64_alpha0.0001_lr0.0005_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.0005,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,36,True,True,0.516009,0.901619,14.580668,0.925658,0.960685,0.902767,0.867842,0.942813,0.903775,0.925143,0.960529,0.902972,0.869257,0.941237,0.903816
18,round2,round2_08_hidden64_alpha0.001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,30,True,True,0.548436,0.900615,8.151527,0.92228,0.959012,0.900333,0.858365,0.951157,0.902382,0.921296,0.958749,0.902419,0.862315,0.950254,0.904151
19,round2,round2_12_hidden64x32_alpha0.0001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,27,True,True,0.35341,0.901493,10.486736,0.918513,0.96125,0.905553,0.872104,0.943332,0.906321,0.917768,0.960973,0.905481,0.874807,0.939268,0.905892
20,round2,round2_03_hidden64_alpha0.0001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,22,True,True,0.413057,0.896223,8.2448,0.918102,0.956693,0.897396,0.859616,0.941984,0.898917,0.917537,0.957067,0.898705,0.863901,0.93875,0.899772
21,round2,round2_09_hidden64x32_alpha0.0001_lr0.0005_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.0001,0.0005,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,17,True,True,0.537812,0.894341,8.699242,0.911026,0.953718,0.897634,0.852236,0.954059,0.900278,0.909986,0.953872,0.900964,0.858826,0.952016,0.903023
22,round2,round2_15_hidden64x32_alpha0.001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,13,True,True,0.383774,0.88907,6.64917,0.906614,0.949282,0.889753,0.861888,0.919752,0.889881,0.908108,0.950799,0.890473,0.863924,0.918541,0.890396
23,round2,round2_02_hidden64_alpha0.0001_lr0.0005_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.0005,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,19,True,True,0.466123,0.889572,5.666102,0.903812,0.949365,0.892288,0.85083,0.942917,0.89451,0.904014,0.95021,0.894438,0.855541,0.940927,0.896205
24,round2,round2_18_hidden128x64_alpha0.0001_lr0.0005_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.0005,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,12,True,True,0.730378,0.87602,8.272516,0.888691,0.939781,0.877066,0.830173,0.938072,0.88083,0.891432,0.941914,0.876167,0.830846,0.934605,0.879676
