stage,config_id,params_json,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,tol,shuffle,beta_1,beta_2,epsilon,early_stopping,validation_fraction,n_iter_no_change,n_iter,converged,stopped_early,loss,best_internal_validation_score,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
regularization,archrank2_hidden_64_alpha1e-05,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,1e-05,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,30,True,True,0.542133,0.900866,7.527677,0.94921,0.960267,0.900571,0.862564,0.945327,0.902051,0.946047,0.960006,0.902771,0.86654,0.944761,0.903962
regularization,archrank2_hidden_64_alpha0.0001,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.433338,0.903752,11.602289,0.954388,0.961635,0.902717,0.873622,0.934289,0.902937,0.949301,0.960126,0.901717,0.875867,0.928697,0.901509
regularization,archrank2_hidden_64_alpha0.001,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,30,True,True,0.548436,0.900615,7.80557,0.92228,0.959012,0.900333,0.858365,0.951157,0.902382,0.921296,0.958749,0.902419,0.862315,0.950254,0.904151
regularization,archrank2_hidden_64_alpha0.01,"{""activation"": ""relu"", ""alpha"": 0.01, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.01,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,32,True,True,0.525059,0.901117,8.605318,0.953293,0.961331,0.901362,0.870411,0.935636,0.901846,0.949062,0.959942,0.904427,0.875279,0.936056,0.904647
learning_rate,regrank1_archrank1_hidden_128x64_alpha0.0001_lr0.0003_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.0003,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,20,True,True,0.582945,0.894968,18.200177,0.946629,0.958131,0.898475,0.86679,0.9339,0.899094,0.942568,0.957772,0.900211,0.870993,0.932014,0.900471
learning_rate,regrank1_archrank1_hidden_128x64_alpha0.0001_lr0.0003_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.0003,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,45,True,True,0.538019,0.904881,30.81071,0.93424,0.967343,0.90864,0.878039,0.942243,0.909009,0.933138,0.966431,0.909648,0.880835,0.940719,0.909793
learning_rate,regrank1_archrank1_hidden_128x64_alpha0.0001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,23,True,True,0.218009,0.910654,19.333747,0.941016,0.969442,0.913246,0.878458,0.952686,0.914068,0.939885,0.968583,0.913061,0.881395,0.948078,0.913521
learning_rate,regrank1_archrank1_hidden_128x64_alpha0.0001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.253941,0.910026,29.192022,0.974642,0.977524,0.915204,0.907172,0.918949,0.913023,0.970701,0.975342,0.91271,0.906726,0.913773,0.910236
learning_rate,regrank1_archrank1_hidden_128x64_alpha0.0001_lr0.003_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.003,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,14,True,True,0.22256,0.903878,11.497406,0.965288,0.970745,0.905817,0.883197,0.928303,0.905188,0.963661,0.970214,0.906285,0.885706,0.926003,0.905406
learning_rate,regrank1_archrank1_hidden_128x64_alpha0.0001_lr0.003_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.003,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,15,True,True,0.23173,0.897729,9.997497,0.961783,0.966551,0.902115,0.875314,0.930428,0.90203,0.95999,0.965653,0.90257,0.87622,0.930252,0.902428
learning_rate,regrank2_archrank2_hidden_64_alpha0.0001_lr0.0003_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.0003,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,40,True,True,0.430759,0.90187,14.88479,0.958952,0.966812,0.903721,0.87196,0.939108,0.904289,0.955584,0.966047,0.904979,0.874686,0.938232,0.905345
learning_rate,regrank2_archrank2_hidden_64_alpha0.0001_lr0.0003_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.0003,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,47,True,True,0.417825,0.898733,12.395603,0.924417,0.96113,0.9015,0.862342,0.947944,0.903119,0.922698,0.960265,0.903022,0.866743,0.945072,0.904214
learning_rate,regrank2_archrank2_hidden_64_alpha0.0001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,22,True,True,0.413057,0.896223,7.77762,0.918102,0.956693,0.897396,0.859616,0.941984,0.898917,0.917537,0.957067,0.898705,0.863901,0.93875,0.899772
learning_rate,regrank2_archrank2_hidden_64_alpha0.0001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.433338,0.903752,11.241667,0.954388,0.961635,0.902717,0.873622,0.934289,0.902937,0.949301,0.960126,0.901717,0.875867,0.928697,0.901509
learning_rate,regrank2_archrank2_hidden_64_alpha0.0001_lr0.003_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.003,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,36,True,True,0.210313,0.91103,12.474196,0.96758,0.97123,0.910422,0.891533,0.92794,0.909373,0.965392,0.970079,0.909899,0.895389,0.92165,0.90833
learning_rate,regrank2_archrank2_hidden_64_alpha0.0001_lr0.003_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.003,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,26,True,True,0.388892,0.901368,6.605233,0.949782,0.958015,0.899379,0.867444,0.935144,0.900022,0.94648,0.957401,0.899659,0.87064,0.931185,0.899895
