,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,proto_any,proto_arp,proto_icmp,proto_igmp,proto_ospf,proto_sctp,proto_tcp,proto_udp,proto_unas,proto_infrequent_sklearn,service_-,service_dhcp,service_dns,service_ftp,service_ftp-data,service_http,service_irc,service_pop3,service_smtp,service_snmp,service_ssh,service_ssl,service_infrequent_sklearn,state_con,state_eco,state_fin,state_int,state_req,state_rst,state_infrequent_sklearn
FP,0.8871966789949434,0.14991585639491398,-0.014218474951459245,1.6925024175150138,0.3155002173562316,15.024725320348333,94.49409084274419,-0.008447379095439264,0.24076970150268578,-0.0464291380521747,2.5319215300835376,2.3779324881669908,2.610807081632381,2.1064749600964756,-50.537703134561774,0.09302900221750858,0.09225807297325525,-50.61161351737268,1.0730807324322424,1.0908130323421876,1.099731204264439,1.4549166695763556,-0.20945104723765137,0.16604338070306657,378.70680628272254,0.2456245325355273,0.039437002787788125,0.5239681784184402,0.13626164411504726,0.5116611137553546,0.006663493574488339,0.006935472904059292,0.3331746787244169,0.18827769089549196,0.1355544978581628,0.0,0.0,0.0,0.0,0.0,0.00258380363092405,0.0,0.801863058407561,0.1955531379615149,0.0,0.0,0.8071666553341946,0.0,0.0019718501393894065,0.028761814102128237,0.0,0.16189569592710953,0.0,0.0,6.799483239273815e-05,0.0,0.0,0.0,0.0001359896647854763,0.005915550418168219,0.0,0.7959475079893928,0.1949411844699803,0.003195757122458693,0.0,0.0
FN,4.958843408334814,0.6770587541293063,0.5014419799695874,1.6484666525814458,3.7447474556922247,9.433908724138544,92.36761528337614,0.134742695900616,0.12726128677048926,0.6608463111530597,6.85647321436554,5.222339093873775,6.901570032485733,15.61923327667973,-92.42095327984899,-0.04365023672913854,-0.03813435925262697,-92.42095327984899,0.4843641784799101,0.5081813032159724,0.4793171736696201,1.643272578855401,0.6550991847162779,0.05899008966493629,6387.361491269467,1.3380840018876827,0.5773949976403964,1.711184521000472,0.2085889570552147,1.1420481359131667,0.010854176498348278,0.010854176498348278,0.05946201038225578,0.48497719049866284,1.2573855592260499,0.0,0.0,0.0,0.0,0.0,0.12505899008966492,0.0,0.6375648890986314,0.23737612081170364,0.0,0.0,0.7281736668239736,0.0,0.06134969325153374,0.06984426616328457,0.07220386974988202,0.06465313827277018,0.0,0.001415762151958471,0.0009438414346389807,0.0,0.001415762151958471,0.0,0.0,0.07597923548843795,0.0,0.6172722982538933,0.24492685228881547,0.060405851816894764,0.0,0.001415762151958471
TP,0.4024351879146251,0.31504553028023974,0.15741533540575486,4.392125577815524,2.554327573994234,45.12907569441031,119.58376205349578,0.01713408157185569,0.5401576686028124,0.33021313030800914,0.4328319876029075,0.39399008946106356,0.47318300560463183,1.1986392454335202,-172.99967602341889,-0.26899814631774355,-0.26851382876584756,-173.01147802744543,0.2986378112004248,0.2778795922769864,0.33457882735566163,0.6142283259354511,-0.1268246624379478,0.08272973410779164,768.2125749195844,1.917936732001944,2.9651262351607155,6.753037280448013,4.990350126119455,2.8616619998611528,0.006664661097354962,0.006757225834818226,0.08777451229953949,2.284999112921266,1.849156503829866,0.0,0.0022215536991183208,0.0,0.0,0.0,0.00863166176844931,0.007497743734524333,0.32156989794737695,0.4817531761275542,0.08134126304584269,0.0969847036771342,0.4219794969106519,0.0006016707935112119,0.42045217874250806,0.014949205100317034,0.006803508203549857,0.09573507972138014,0.0001157059218290792,0.009719297433642653,0.02809339782010043,0.0006710943466086594,2.314118436581584e-05,0.0006942355309744753,0.0001619882905607109,0.0043505426607733785,0.0,0.3207136741258418,0.6747737949228242,0.0001619882905607109,0.0,0.0
TN,0.454147539366203,1.2264808460054726,1.6151831416937057,1.0142396050170166,9.423176312621678,6.215910125799298,29.665835400214977,3.6379986571231178,0.47699576847739955,1.9797694343515901,31.940027010392747,1.3321036020524046,0.7066931757914312,3.3834516686399128,-71.4024133135962,-0.030603678805174884,-0.02823517705234082,-90.43358901897457,0.25030379565309563,0.2974243334115763,0.20975229543992263,0.7141970391869463,1.4766634647956602,0.07266855066612839,3545.9080428834163,0.8285739918360022,1.0867985466289867,0.9116314538195847,0.05189969945722873,0.7239193169754333,0.012066567980980577,0.012245996501143858,0.08356883326604764,0.9012395520267947,0.7597721257793926,0.04108913111739111,0.0,0.044273987350289326,0.0,0.0013457139012245996,0.0,0.0,0.7201812228053649,0.23419907594312117,0.0,0.0,0.6954649441528731,0.0,0.13632081819405195,0.015027138563674696,0.04256941640873817,0.07320683622661822,0.0,0.0,0.02843942044587987,0.0,0.008971426008163998,0.0,0.0,0.29363477324720766,0.0,0.559188983088862,0.07257883640604675,0.07446283586776119,4.485713004081999e-05,8.971426008163998e-05
