arm,pr_auc,roc_auc,f1_locked_threshold,precision_locked_threshold,recall_locked_threshold,accuracy_locked_threshold,locked_threshold,threshold_note
no_ttl_frozen,0.9859274974007409,0.9809003722685008,0.8887311552765226,0.812655404417142,0.9805214859260567,0.864815624544527,0.46306103,"Validation-selected no-TTL XGBoost threshold, applied unchanged to both arms for like-for-like secondary operating-point metrics."
with_ttl_refit,0.987003940265121,0.9824187162102541,0.8909768799416251,0.8146076657344958,0.9831465631342098,0.8675241704319099,0.46306103,"Validation-selected no-TTL XGBoost threshold, applied unchanged to both arms for like-for-like secondary operating-point metrics."
