model,TP,TN,FP,FN,false_positive_rate,false_negative_rate
logistic_regression,43213,22293,14707,2119,0.3974864864864865,0.04674402188299656
neural_network,43936,23567,13433,1396,0.36305405405405405,0.030795023383040677
random_forest,44646,26747,10253,686,0.2771081081081081,0.015132798023471278
xgboost,44449,26753,10247,883,0.27694594594594596,0.01947851407394335
