metric,no_ttl_frozen,with_ttl_refit,delta
pr_auc,0.9859274974007408,0.987003940265121,0.0010764428643801338
roc_auc,0.9809003722685008,0.982418716210254,0.0015183439417532085
f1_locked_threshold,0.8887311552765226,0.8909768799416251,0.002245724665102533
precision_locked_threshold,0.812655404417142,0.8146076657344958,0.0019522613173538206
recall_locked_threshold,0.9805214859260568,0.9831465631342098,0.0026250772081529705
accuracy_locked_threshold,0.864815624544527,0.8675241704319099,0.002708545887382896
