model,brier_score,expected_calibration_error,worst_bin,worst_bin_gap,worst_bin_count
random_forest,0.084251378795293,0.08717536871975624,2,-0.32598396314581213,8233
xgboost,0.08882199972867966,0.09420263004677538,5,-0.4675014994420418,8233
neural_network,0.09758589379093893,0.0845485740286539,5,-0.33808349619966893,8233
logistic_regression,0.14064665207083143,0.09286429324063998,6,-0.3151478137059105,8234
