bin,mean_predicted,observed_frequency,count,gap
1,0.041586248537226485,0.011497975708502025,24700,-0.03008827282872446
2,0.5336846797740157,0.20770071662820358,8233,-0.32598396314581213
3,0.7870518613729567,0.4676949234879767,8234,-0.31935693788498
4,0.9456356616582554,0.825801749271137,8232,-0.11983391238711838
5,0.9890990305680435,0.9767018565708045,8241,-0.012397173997238942
6,0.997677937417972,0.9959976456739258,8495,-0.0016802917440461584
7,0.9999888354259062,0.998888683089461,16197,-0.001100152336445226
