feature,importance_mean,importance_std
ackdat,0.03707725690161694,0.00014962788703738156
sbytes,0.029425801068413436,0.00034291363506781553
state,0.02528584915551595,0.00019722975805767446
ct_dst_sport_ltm,0.020486033667346425,0.00013802567822085367
dbytes,0.016466744149026803,0.00021581594495336296
tcprtt,0.01644739102735786,0.00017489744635649205
service,0.015522040704717077,8.837007070977718e-05
swin,0.014394387447029566,0.0002009706101939773
sloss,0.013782881509017787,0.00016480049636848477
dinpkt,0.012884153730528713,0.0001598011586795859
smean,0.012852918825933202,0.00021272935234268881
rate,0.012329333458009928,0.0002210571451666518
dload,0.011833880705679922,0.0001095666673314958
synack,0.011456426742150106,0.00014861385388562103
ct_dst_src_ltm,0.008116318904471398,0.00019181074550693897
spkts,0.007481886044073671,0.00011093611288015216
dpkts,0.005474117100492037,0.00013625097504342776
dtcpb,0.004154217482629963,6.033354939493231e-05
dmean,0.0041420275255099614,0.00010442811911231319
ct_srv_dst,0.0039036415258290715,0.00025856310592104403
ct_srv_src,0.003594049623152418,0.0002076874178062276
dur,0.0030166173733937375,0.00016468461071708344
ct_src_dport_ltm,0.002974019619377888,7.710233180853653e-05
sinpkt,0.0028064786289798025,0.0001148420294788071
sjit,0.002294809443937074,7.604163817086815e-05
sload,0.0014840176674688176,0.00021304176761766517
stcpb,0.0014175631079576644,4.5798002042535226e-05
djit,0.0011005760111008956,2.732954579002035e-05
dloss,0.0010102392132711469,2.0015860805393028e-05
proto,0.0007813520867208101,5.257581664296973e-05
response_body_len,9.6404439147868e-05,1.5191959459660661e-05
is_sm_ips_ports,9.0415111018749e-05,8.43182528175068e-06
ct_src_ltm,5.7955073466398055e-05,6.825723157287285e-05
dwin,5.3602638990524196e-05,2.2444547357716695e-05
ct_ftp_cmd,1.7390158808017197e-05,5.072219260691998e-06
is_ftp_login,1.3525961330507208e-05,5.126404960639124e-06
trans_depth,-0.00014040992224315652,1.8546850134048287e-05
ct_flw_http_mthd,-0.00022335833057656184,2.924577390986868e-05
ct_dst_ltm,-0.0002528486276572206,6.18113565525254e-05
